Asset1,Asset2,P-Value,Hurst,Spread_Std,P-Value_adj,Hurst_adj,Quality_Score
KO,WRB,0.007584250174972158,0.4097864681664401,1.5683390158330952,0.1317374231881471,0.004790729810807214,0.8641029654015121
CAC,FISI,0.002180957679947883,0.4316361432078638,1.5164139977001971,0.01965389011424571,0.24806580486039093,0.7371557630951914
FNLC,SHBI,0.018411342999538022,0.40935619026166065,1.1161737779929652,0.3563298948735017,0.0,0.6436701051264984
COLM,TPR,0.02018831332597372,0.4412502385030161,6.523582991779965,0.3931905890776014,0.3551094908661495,0.3913256299569575
ROP,SHW,0.016008601426818606,0.4532433075398473,21.944958284769204,0.30648847600122486,0.48864075686798225,0.3546335280153458
NATH,VPG,0.02371290714429064,0.45190562069791257,4.1982597201642795,0.4663032196026343,0.4737469030121442,0.28085958353656126
AMGN,BMY,0.026433063917287367,0.4482430658131209,17.48613759682347,0.5227289603733097,0.4329678839749414,0.2706280075170018
INDB,SFNC,0.01139050790336088,0.4735528516094924,4.758452776149193,0.2106927665053024,0.714767957771369,0.22513571415552347
BDX,GILD,0.0012334882877909072,0.4809302466235028,11.281963839066027,0.0,0.7969081416551685,0.20309185834483146
BSRR,HBNC,0.026231850930694682,0.4624536020039181,0.973199023742206,0.5185550863033,0.5911885097625987,0.19682021263556496
TFX,ZBH,0.020866836926404134,0.4765282400854477,27.850893941551767,0.4072655854766115,0.747896041068599,0.14943069249623236
GWRE,TENB,0.035288079268022354,0.4626578495552506,9.422956822879218,0.7064135206387355,0.5934626094132753,0.11935388123107175
NATH,SRI,0.037008654867828665,0.4704556620374885,4.593124564379709,0.7421043873324461,0.6802837366493811,0.08245342161658886
ARTNA,LAND,0.0015200984215082763,0.4921929669481764,2.962444394311173,0.005945315089162449,0.9223076785843412,0.07723041608483427
QLYS,TENB,0.04215175627960136,0.4556945940554903,9.556969617030344,0.8487906305294775,0.5159334699143096,0.07319539479604098
ADC,UMH,0.04443579009053262,0.4377917276434463,3.045297630264699,0.8961696275808433,0.31660230541252027,0.07095743713941115
MPAA,NNBR,0.04916003244265658,0.4909095017558155,2.34391937426102,0.9941672418893451,0.9080175305430923,0.000536511494762842
CALM,ODC,0.002927658976700215,0.4991708685809238,3.2998965945475645,0.035143134786440544,0.9999998886596371,1.0742751354777054e-07
NTRS,SCHW,0.04944120646015015,0.4812772160425734,5.206073464412619,0.9999997925643795,0.8007713117620135,4.132712655776792e-08
